Country;R0;Lower;Upper
Argentina;1,389488516;1,366902957;1,41234791
Bolivia;1,366747373;1,337883126;1,396097932
Brazil;1,320914672;1,31691601;1,324991879
Canada;1,549420592;1,525095419;1,57406071
Chile;1,326619066;1,31748944;1,335869727
Colombia;1,30917107;1,292492776;1,326025726
El Salvador;1,239538248;1,183179126;1,297671743
Guatemala;1,408686655;1,367870842;1,450281845
Mexico;1,292910374;1,28336079;1,302594953
Panama;1,253839409;1,22893107;1,279076156
Peru;1,166504807;1,159723449;1,173292953
Dominican Rep.;1,17734075;1,155476665;1,199490968
US;1,783416968;1,776623937;1,7902421
