Argentina;;;Bolivia;;;Brazil;;;Canada;;;Chile;;;Colombia;;;Dominican Republic;;;Guatemala;;;Mexico;;;Panama;;;Peru;;;El Salvador;;;US;;
Rt;Lower;Upper;Rt;Lower;Upper;Rt;Lower;Upper;Rt;Lower;Upper;Rt;Lower;Upper;Rt;Lower;Upper;Rt;Lower;Upper;Rt;Lower;Upper;Rt;Lower;Upper;Rt;Lower;Upper;Rt;Lower;Upper;Rt;Lower;Upper;Rt;Lower;Upper
7,50356313;4,371102038;11,46853311;3,387347862;1,624364965;5,787217244;3,204615928;0,660868846;7,717449724;2,711336943;0,559142861;6,52952086;5,614749756;2,692490751;9,592689601;15,07389188;9,075467604;22,56939276;6,500376825;2,110654661;13,31483714;5,899832486;3,225493321;9,368258001;0,832951071;0,100874239;2,320453165;5,899832486;3,225493321;9,368258001;6,979527583;4,742250368;9,642299623;7,706492535;3,847053307;12,88410378;1,770109914;0,365039219;4,262830422
3,720716757;1,981124971;5,999393903;0,727966695;0,150124234;1,753110669;5,421905266;1,989743675;10,54409852;2,13573874;0,440440673;5,143348446;8,090236029;4,941726345;12,00221043;17,13384348;11,93434977;23,25874806;5,69437342;1,84894755;11,66388607;4,295831859;2,404344481;6,727164185;0,694514568;0,084108936;1,934793752;4,295831859;2,404344481;6,727164185;7,324001472;5,381400801;9,561336462;5,664349099;2,827622662;9,469945152;1,877992963;0,511689876;4,116219282
4,573986021;2,899514776;6,623979812;1,149095143;0,421697665;2,23467062;9,647519968;4,985014348;15,82357163;1,769008936;0,364812171;4,260179014;6,081110359;3,71450019;9,02158675;15,23267918;11,34173018;19,68861616;4,881024385;1,584855332;9,997888812;2,949633715;1,6125922;4,683680378;0,964881244;0,198981709;2,323655208;2,949633715;1,6125922;4,683680378;8,321338321;6,534040372;10,32144398;6,371788924;3,711801856;9,738716254;1,627009745;0,443305396;3,56610968
3,43223534;2,175742785;4,970513136;1,487888177;0,68035722;2,605984764;12,52609977;7,423760585;18,94130475;1,035268151;0,125375776;2,884072475;8,217433375;5,755389311;11,11100335;10,77712378;8,204045956;13,69579719;3,124356784;0,851282069;6,848022274;2,295336111;1,254881611;3,644730751;0,967779522;0,199579404;2,330634927;2,295336111;1,254881611;3,644730751;7,072215524;5,656859548;8,643219086;5,522419728;3,373237438;8,192745355;2,62140618;1,053941242;4,890597988
3,443929269;2,306453482;4,805800928;2,166395823;1,184388756;3,439988347;12,74334208;8,164899722;18,32455045;0,955039691;0,115659737;2,660570293;9,088915928;6,827873377;11,66836793;8,885334212;7,03460277;10,94892834;2,437096775;0,664026847;5,34167323;1,740489052;0,926737117;2,806416098;1,019180859;0,210179595;2,454421128;1,740489052;0,926737117;2,806416098;6,228747177;5,094498089;7,475291934;4,567329594;2,86232114;6,664300795;2,492061903;1,001938135;4,649288241
3,693402109;2,613671153;4,956898073;2,420942759;1,383777964;3,743415858;8,125661307;5,150972241;11,76746414;1,841073867;0,501630664;4,035299333;7,573774795;5,806769706;9,571913948;6,204006698;4,962404554;7,58214861;0,490238635;0,012411768;1,808431228;1,373238654;0,709572452;2,252344674;1,092647651;0,225330214;2,631346004;1,373238654;0,709572452;2,252344674;6,414460761;5,432166198;7,477186789;3,158835949;1,929499062;4,686267944;1,688002832;0,548089925;3,457566137
3,634325261;2,650901784;4,770491762;2,650931212;1,571109844;4,0085978;6,286112016;4,177075783;8,819321416;1,84931448;0,503875954;4,053361259;11,46771088;9,601674672;13,49699202;4,600743205;3,717868826;5,57626145;2,923844185;1,175537006;5,454838169;0,917327713;0,419460644;1,606667813;2,726536155;1,096208945;5,086732584;0,917327713;0,419460644;1,606667813;5,999630155;5,185041048;6,872780679;2,449268039;1,496076548;3,633593667;1,243185714;0,338726266;2,724837157
3,294186175;2,437057067;4,278477991;2,477880936;1,468549283;3,746920336;5,964993437;4,261478765;7,950483834;1,887549942;0,514293831;4,137166445;10,7864037;9,264079338;12,42283154;4,421500612;3,683228089;5,226208703;2,669739626;1,073373795;4,980770757;0,942111386;0,451779029;1,609578786;8,211838245;5,016004137;12,18261251;0,942111386;0,451779029;1,609578786;5,086985083;4,439782428;5,77758044;2,261782044;1,433775798;3,275479752;1,129342114;0,307707716;2,475312675
3,617421955;2,791849894;4,548299892;3,079170908;1,992677059;4,398299745;6,283419773;4,783230259;7,985102944;1,415299146;0,291868709;3,408364763;8,090162878;6,997148006;9,261339032;3,875985168;3,272779998;4,529455247;2,5404961;1,021411194;4,739648975;1,263304256;0,690660193;2,005982413;14,35624325;9,99964944;19,48822781;1,263304256;0,690660193;2,005982413;3,97685275;3,481543574;4,504623293;1,899131964;1,203886756;2,750295199;0,261729905;0,006626427;0,965490068
