Country;cod;First case date;Quarantine;Days
Argentina;ARG;3/03/2020;20/03/2020;17
Bolivia;BOL;11/03/2020;22/03/2020;11
Brazil;BRA;26/02/2020;17/03/2020;20
Canada;CAN;26/01/2020;16/03/2020;50
Chile;CHL;3/03/2020;14/03/2020;11
Colombia;COL;6/03/2020;25/03/2020;19
Dominican Republic;DOM;1/03/2020;19/03/2020;18
El Salvador;SLV;18/03/2020;21/03/2020;3
Guatemala;GUM;13/03/2020;18/05/2020;66
Mexico;MEX;28/02/2020;16/03/2020;17
Panama;PAN;9/03/2020;25/03/2020;16
Peru;PER;6/03/2020;16/03/2020;10
US;USA;24/01/2020;19/03/2020;55
;;;;
;;;;
;;;;
